iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
81,-242.13561235721863,0.05092540356968751,4.658640746991836,0.999979032179276,2,⊕
82,-242.31668355824513,0.06042355131666175,6.987961120487753,1.0000415733710495,2,⊕
83,-242.58301855999525,0.05008847314142792,10.481941680731628,0.999835497634497,2,⊕
84,-242.97073916296722,0.048670165152346075,15.722912521097438,0.9976209839705801,2,⊕
85,-243.52201700700243,0.06932030960704733,23.584368781646155,0.9995724561800985,2,⊕
86,-243.60128416135194,0.766411430265929,23.584368781646155,0.21905670448591108,2,⊕
87,-244.57650824558732,0.25378573563278184,35.376553172469215,1.0309403451951715,3,⊕
88,-245.61381835214343,0.10464482279703995,53.06482975870381,1.0005428483565246,3,⊕
89,-246.80406945037612,0.6969570336371453,53.06482975870381,0.9395610249585733,3,⊕
90,-247.926952964237,0.09578836539095989,79.59724463805573,0.9882804303992352,3,⊕
91,-249.63332884634292,0.036122614484027864,119.39586695708357,1.0018756301815919,3,⊕
92,-252.16185859388133,0.030878818287091714,179.0938004356253,1.00046822561354,3,⊕
93,-255.91697026936527,0.2190417655025906,268.640700653438,0.9979597512766138,3,⊕
94,-259.71550963075424,6.844355924405561,268.640700653438,0.8722191156630926,3,⊕
95,-260.6557111273869,8.941969865438478,268.640700653438,0.1139624312017213,3,⊕
96,-261.50278389780215,1.1634159140580271,268.640700653438,0.027002707874828457,3,⊕
97,-261.50278389780215,1.1634159140580271,14.46232431565669,-6.981836286291112,1,⊕
98,-261.50278389780215,1.1634159140580271,0.7785820395140415,-1.0005938389052258,1,⊕
99,-262.40841953093695,1.162955963551175,1.1678730592710622,0.9999993618289276,1,⊕
100,-263.76620148992515,1.1622642896870161,1.7518095889065934,0.9999996854302302,1,⊕
